quote,author
He who knows others is wise; he who knows himself is enlightened.,Lao Tzu
The only journey is the journey within.,Rainer Maria Rilke
Knowing yourself is the beginning of all wisdom.,Aristotle
What lies behind us and what lies before us are tiny matters compared to what lies within us.,Ralph Waldo Emerson
"The curious paradox is that when I accept myself just as I am, then I can change.",Carl Rogers
"Until you make the unconscious conscious, it will direct your life and you will call it fate.",Carl Jung
One way to boost our will power and focus is to manage our distractions instead of letting them manage us.,Daniel Goleman
Tension is who you think you should be. Relaxation is who you are.,Chinese Proverb
"To find yourself, think for yourself.",Socrates
"Your visions will become clear only when you can look into your own heart. Who looks outside, dreams; who looks inside, awakes.",Carl Jung
The greatest discovery of any generation is that a human being can alter his life by altering his attitude.,William James
The privilege of a lifetime is to become who you truly are.,Carl Jung
"Do not dwell in the past, do not dream of the future, concentrate the mind on the present moment.",Buddha
You must find the place inside yourself where nothing is impossible.,Deepak Chopra
"In the midst of movement and chaos, keep stillness inside of you.",Deepak Chopra
Without self-awareness we are as babies in the cradles.,Virginia Woolf
Act the way you'd like to be and soon you'll be the way you act.,Leonard Cohen
Happiness is not something ready made. It comes from your own actions.,Dalai Lama
Awareness is the greatest agent for change.,Eckhart Tolle
Change your thoughts and you change your world.,Norman Vincent Peale
Feelings come and go like clouds in a windy sky. Conscious breathing is my anchor.,Thich Nhat Hanh
He who has a why to live can bear almost any how.,Friedrich Nietzsche
"Reflect upon your present blessings, of which every man has plenty; not on your past misfortunes, of which all men have some.",Charles Dickens
The best way out is always through.,Robert Frost
What we achieve inwardly will change outer reality.,Plutarch
Your pain is the breaking of the shell that encloses your understanding.,Khalil Gibran
"We don’t see things as they are, we see them as we are.",Anaïs Nin
There is no greater agony than bearing an untold story inside you.,Maya Angelou
The only limit to our realization of tomorrow will be our doubts of today.,Franklin D. Roosevelt
It is never too late to be what you might have been.,George Eliot
Everything you’ve ever wanted is on the other side of fear.,George Addair
Out of your vulnerabilities will come your strength.,Sigmund Freud
